speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,qualification,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,maoriProf,maoriExpo,maoriAttitude,workerId
1,1,1,no,30-39,F,Non M,Yes,north,No,Waikato,undergraduate,2,1,No,8,Waikato,long,English,NZ,None,No,No,None,4,5,2,3,9,90
1,1,1,lang,18-29,F,Non M,Yes,north,No,Wellington,undergraduate,4,3,No,8,Auckland,short,English,NZ,fra,No,No,None,5,5,2,7,10,91
1,1,1,no,18-29,F,Non M,Yes,south,No,Canterbury,graduate,4,4,No,4,Canterbury,long,English,NZ,None,No,No,None,5,4,2,8,9,93
1,1,0,no,50-59,F,Non M,Yes,north,No,Auckland,graduate,2,3,No,7,Auckland,long,English,NZ,None,No,No,None,3,4,2,5,7,94
2,1,0,no,40-49,F,Non M,Yes,north,No,Northland,high,4,2,Yes,7,Northland,long,English,NZ,None,No,No,None,5,3,3,6,8,95
2,2,1,no,40-49,F,M,Yes,north,No,Northland,high,1,5,Yes,8,Auckland,long,English,NZ,None,No,Yes,Cook Island Maori,5,5,4,6,10,96
0,0,0,no,50-59,F,Non M,Yes,north,No,Taranaki,high,3,3,No,1,Taranaki,long,English,NZ,None,No,No,None,3,4,0,6,7,97
1,1,0,no,30-39,F,Non M,Yes,south,No,Canterbury,undergraduate,4,5,Yes,7,Canterbury,short,English,NZ,None,No,No,None,3,5,2,9,8,98
1,3,3,lang,60,F,Non M,Yes,south,No,Otago,graduate,5,3,No,3,Taranaki,short,English,NZ,None,No,No,None,5,4,4,8,9,100
1,1,3,lang,50-59,F,Non M,Yes,north,No,Auckland,undergraduate,5,5,No,5,Auckland,long,English,NZ,None,No,No,None,3,2,2,10,5,101
1,1,1,lang,18-29,M,Non M,Yes,north,No,Auckland,undergraduate,2,2,No,5,Auckland,long,English,NZ,None,No,No,None,5,5,2,4,10,102
1,1,1,lang,30-39,F,Non M,Yes,north,No,Manawatu,undergraduate,2,3,No,5,Manawatu,long,English,NZ,deu,No,No,None,4,4,2,5,8,103
1,1,1,no,40-49,M,Non M,Yes,north,No,Wellington,high,5,2,Yes,5,Wellington,long,English,NZ,None,No,No,None,5,4,2,7,9,104
1,0,0,no,40-49,F,Non M,Yes,north,No,Wellington,graduate,5,3,Yes,2,Bay of Plenty,short,English,NZ,None,No,No,None,2,4,1,8,6,105
1,1,1,no,18-29,F,Non M,Yes,south,No,Canterbury,high,2,5,No,8,Canterbury,long,English,NZ,None,No,No,None,5,5,2,7,10,106
1,1,1,no,30-39,F,Non M,Yes,north,No,Taranaki,graduate,5,5,Yes,7,Northland,short,English,NZ,None,No,No,None,5,4,2,10,9,107
1,1,1,no,40-49,F,Non M,Yes,north,No,Auckland,high,4,2,No,4,Auckland,long,English,NZ,None,No,No,None,5,5,2,6,10,108
1,2,1,no,18-29,F,Non M,Yes,north,No,Wellington,graduate,3,4,No,6,Wellington,long,English,NZ,None,No,No,None,5,5,3,7,10,109
1,3,1,no,18-29,F,Non M,Yes,north,No,Wellington,high,5,5,Yes,8,Wellington,long,English,NZ,None,No,No,None,5,5,4,10,10,110
1,2,1,no,18-29,M,Non M,Yes,north,No,Bay of Plenty,graduate,4,4,No,7,Otago,short,English,NZ,None,No,No,None,5,4,3,8,9,111
1,2,3,no,50-59,M,Non M,Yes,north,No,Waikato,graduate,3,3,Yes,8,Hawke's Bay,long,English,NZ,None,No,No,None,5,5,3,6,10,113
1,1,0,no,30-39,F,Non M,Yes,south,Yes,Canterbury,graduate,3,2,Yes,4,Canterbury,long,English,NZ,None,No,No,None,5,5,2,5,10,114
1,1,1,no,30-39,F,Non M,Yes,north,No,Waikato,high,3,3,Yes,7,Waikato,long,English,NZ,None,No,No,None,3,4,2,6,7,115
0,0,0,no,40-49,M,Non M,Yes,south,No,Nelson Bays,undergraduate,3,2,No,2,Nelson Bays,long,English,NZ,None,No,No,None,4,4,0,5,8,116
1,1,1,no,18-29,M,Non M,Yes,north,No,Wellington,graduate,3,5,No,5,Otago,short,English,NZ,None,No,No,None,5,5,2,8,10,117
1,1,0,no,40-49,F,Non M,Yes,north,No,Waikato,undergraduate,3,2,No,7,Waikato,short,English,NZ,swe,No,No,None,5,5,2,5,10,118
1,1,1,no,18-29,F,Non M,Yes,north,No,Wellington,graduate,4,5,No,5,Wellington,long,English,Other,None,No,No,None,5,5,2,9,10,120
1,1,0,no,18-29,F,Non M,Yes,south,No,Canterbury,high,2,5,No,8,Canterbury,long,English,NZ,None,No,No,None,5,5,2,7,10,121
1,1,2,no,40-49,F,Non M,Yes,equal,No,Wellington,graduate,2,5,Yes,9,Wellington,long,English,NZ,None,No,No,None,5,4,2,7,9,122
2,2,1,no,18-29,M,Non M,Yes,north,No,Hawke's Bay,high,4,3,No,6,Auckland,short,English,NZ,None,No,No,None,5,5,4,7,10,123
2,2,1,no,50-59,F,Non M,Yes,north,No,Bay of Plenty,graduate,4,4,No,8,Bay of Plenty,long,English,NZ,None,No,No,None,5,5,4,8,10,124
1,1,1,no,18-29,NB,Non M,Yes,south,No,Canterbury,undergraduate,4,4,No,3,Canterbury,long,English,NZ,None,No,No,None,5,5,2,8,10,125
1,1,1,no,18-29,F,Non M,Yes,north,No,Auckland,undergraduate,2,1,No,4,Auckland,long,English,NZ,fra,No,No,None,5,4,2,3,9,128
1,0,0,no,60,F,Non M,Yes,north,No,Auckland,undergraduate,5,1,No,6,Canterbury,short,English,NZ,None,No,No,None,5,5,1,6,10,129
